0,1,11085000000
0,2,10000000000
85445,4,90199940000
15,36252,1037650000
15,15,474350000
17,18,4000000000
17,17,1000000000
0,2,100000000
0,19,570000000
85445,21,297600000
85445,22,500000000
23,24,120000000
85445,27,2920779023
85445,28,39079589
29,7412,300000000
29,31,1003016
85445,35,700000000
85445,85445,373987
85445,37,11500000
85445,38,500000000
39,35688,115157700
39,41,1000000
42,43,100000000
44,18,100000000
44,44,82500000
85445,46,126000000
85445,48,3609900
85445,85445,84538746
49,50,32680000000
49,51,19990000
52,53,200000000
52,54,100000000
55,56,1000000000
55,57,1000000000
58,59,85280050
58,58,4990036
60,61,100000000
62,63,200000000
62,62,1531212650
44,18,900000000
44,44,713900000
64,65,5200000
64,66,594790000
67,68,925928779
67,69,14060000
70,71,140040000
72,73,311269
72,6042,5112878731
85445,76,1943446
85445,83698,300000000
81,82,724590000
84,172,19900380000
86,87,8511734156
86,88,206554130
89,13714,3569000000
89,91,710000000
89,92,4328645562
93,94,199670421
93,95,7515642968
96,64612,123062717
96,98,1097283
83420,100,83120000
83420,101,700000000
104,105,90000000
104,106,1300496096
104,107,1300496096
104,108,1300496096
104,109,1300496057
104,110,920204
112,113,17640000
112,133,1318586106
112,133,1318586106
112,133,1318586106
112,117,1318586067
112,118,1021689
120,121,100000000
120,117,1297996106
120,123,1297996106
120,124,1297996106
120,125,1297996067
120,4358,1696398
128,129,200000000
128,130,1272996106
128,131,1272996106
128,132,1272996106
128,133,1272996067
128,2350,1639761
49,6042,2980000000
49,137,19990000
138,2902,376146173
138,140,4014433639
143,144,124029979
143,145,1218992515
143,146,1218992515
143,147,1218992515
143,148,1218992476
143,149,2939752
151,152,115075631
151,151,1931914369
154,155,51195413
154,156,205977
154,157,205977
154,154,158058266
85445,159,1878212
85445,160,14000000
161,162,226907
161,163,2588774345
164,2150,2373495832
164,162,204943
166,167,5659357859
166,28877,19900000
166,73440,595238960
170,171,85454210452
170,172,23622027009
173,174,84290882
173,175,1009118
52,176,2741200
52,25889,21390000
48709,179,26119059
48709,180,1020441
48709,181,11703359
48709,85770,8399078
48709,183,1113689
48709,184,4190391
48709,185,45146425
48709,186,2324638713
48709,187,15133794
48709,188,1014685
48709,189,20753589
48709,190,1060280
48709,60160,4634341
48709,86371,13440613
48709,193,1055804
48709,60160,16511519
48709,195,5026203
196,197,1000000000
196,485,2700000000
196,199,1292644
201,202,200000000
201,681,3500000000
201,204,3785560
206,207,1337650001
206,208,120000
209,210,1735344586
209,82418,400000000
152,86289,114975631
213,214,16332000
213,38583,1006945
219,220,8461853
219,221,8020000
222,2700,1500000
222,222,1366500
2700,225,10000
2700,2700,1890000
227,228,100000000
227,109,1050000000
227,230,2542920
129,233,200000000
129,234,2986603
2700,235,2803637
2700,2700,66407345
237,238,3357615561
237,34455,608405500
240,1305,5438800
240,242,94511200
243,32329,30800000
243,14382,119000000
86289,86289,196950000
86289,248,1803000000
249,86132,1664300
249,251,488909000
252,253,17083200
252,254,82866800
255,256,35915302
255,257,1221296479
258,259,13000000
258,260,21717585
261,2842,1545707
261,263,1000000
238,264,3323580061
238,86371,33985500
264,266,3274680881
264,73965,48849180
268,269,59312697777
268,270,279057923
86132,272,395095000
86132,86132,3170000
273,274,1020000
273,275,700000
86132,86132,3170000
86132,276,4705000
266,277,112161429
266,278,3162469452
278,33278,1038940000
